adrg,mean,count,max,min
AE1,26.64307692,13,37.78,18.67
FT1,25.45112676,71,69.18,0.06
TT3,24.7530303,132,72.87,0.14
TU1,23.74726316,95,61.68,0.27
GU2,19.48157523,5669,77.31,0.07
JV3,19.23581791,3943,72.75,0.06
DU1,19.12982477,856,49.87,0.07
EZ1,18.96445362,5573,70.75,0.06
VT1,18.67143617,564,70.86,0.12
ET1,18.60240278,37365,72.1,0.02
LU1,18.52300358,7824,69.86,0.05
MS1,18.19751231,2641,75.9,0.23
DT2,18.10291492,4302,67.58,0.07
NS1,18.06535251,2468,62.43,0.07
DX1,17.76989286,2240,57.11,0.1
SS1,17.65884615,78,52.09,0.29
SV1,17.41677852,894,65.31,0.12
EW2,17.20847863,3510,74.29,0.01
OS1,17.16055696,395,58.92,0.14
CU1,17.08479381,388,74.59,0.12
LX1,16.8835503,338,52.41,0.25
SR1,16.84032228,8533,70.64,0.04
EJ1,16.77594508,11544,73.9,0.04
EW1,16.66341991,924,64.5,0.12
SZ1,16.5020766,3342,68.95,0.08
EK2,16.45344974,945,52.46,0.03
TR1,15.88075089,839,37.31,0.1
ES1,15.8366935,92778,93.4,0.01
SU1,15.6968,200,44.12,0.06
QR1,15.49775367,1567,52.66,0.03
YR1,15.31099723,361,53.36,0.06
DT1,15.07748706,30717,77.92,0.04
WR2,15.02666025,1039,38.37,0.14
ER3,15.00545507,3450,70.36,0.02
EV2,14.96786885,671,51.13,0.03
XS2,14.9075,92,65.01,0.16
EC1,14.7560701,5107,64.79,0.05
YR2,14.67272727,11,33.89,3.36
WZ1,14.32088979,2214,52.63,0.08
IZ2,14.3104375,160,66.68,0.05
DC2,14.29803824,1203,57.09,0.06
EX1,14.22049359,7719,60.03,0.03
HU1,14.17130655,6521,67.2,0.03
XT2,14.11997478,793,76.28,0.07
FZ1,14.06768469,3533,58.03,0.02
TT2,14.06169839,683,60.56,0.08
RR1,13.92633221,1186,77.33,0.01
MZ1,13.82945552,2810,68.94,0.06
EV1,13.77221245,1591,59.99,0.05
LV1,13.71357483,2098,66.3,0.09
BT2,13.33477647,1275,77.66,0.04
KB1,13.24125,40,31.77,3.08
EX2,13.14050472,31542,59.61,0.04
ER2,13.13203922,255,50.79,0.06
DZ1,13.05985909,2058,62.04,0.04
DV1,13.01401119,2680,59.01,0.01
US2,12.74857143,7,25.35,1.96
RB1,12.73666667,12,31.26,1.34
XT1,12.68911197,259,59.13,0.02
FU1,12.51543029,1499,52.13,0.01
FW3,12.37929648,796,54.99,0.1
JE1,12.18807407,135,34.57,0.17
HZ2,12.1757114,2973,70.21,0.07
GW1,12.16924929,7353,61.65,0.03
IT3,12.13449814,269,48.03,0.14
HT2,12.10061962,6278,47.9,0.05
CZ1,11.96940408,1913,62.43,0.02
BS1,11.89277211,588,61.08,0.02
RR2,11.87053571,112,52.77,0.03
RW2,11.85491722,1208,48.54,0.01
LK1,11.80711538,624,46.47,0.03
DD2,11.75108424,6327,42.71,0.05
LK2,11.69193741,671,43.88,0.09
QS1,11.67696649,3402,71.51,0.02
XR1,11.66639847,261,67.74,0.04
TS1,11.64637394,353,34.49,0.13
DJ1,11.62732759,116,31.6,0.1
GV1,11.57365657,495,37.05,0.03
JJ1,11.54596352,2906,62.97,0.06
BV2,11.47660494,162,45.86,0.06
TT1,11.45098315,356,35.84,0.07
ER1,11.44433874,7463,63.2,0.01
BW1,11.3296875,128,70.53,0.13
UR1,11.31326531,98,32.22,0.37
BT1,11.26514477,1796,43.75,0.07
EU1,11.26289484,2577,50.73,0.06
JV4,11.19561384,1792,52.98,0.04
FR2,11.16941366,4963,50.19,0.03
GU1,11.15154721,16184,54.41,0.03
WR1,11.06732026,153,26.54,0.35
US1,11.04,2,16.81,5.27
EK1,11.00417693,893,47.01,0.05
ST1,10.94365594,7243,50.14,0.11
DL1,10.91531646,158,45.57,0.07
BW2,10.88980132,151,63,0.02
GD1,10.87888511,6476,44.99,0.05
RS1,10.86824312,1127,63.92,0.02
AG2,10.86,2,15.15,6.57
JU1,10.80640461,2951,65.37,0.04
IT1,10.79959877,324,63.83,0.11
SB1,10.7261658,193,37.16,0.04
QJ1,10.72529412,119,38.22,0.03
BV1,10.69060781,6252,46.28,0.04
IR5,10.685,54,55.95,0.05
MD1,10.50957627,472,45.58,0.11
DC1,10.50484779,1741,50.26,0.02
XS1,10.48477895,475,66.16,0.14
LW1,10.41121309,7856,56.78,0.07
JV1,10.37649263,2375,50.26,0.02
JB1,10.356875,64,48.17,0.06
LF1,10.33175304,1563,48.99,0.05
BX1,10.28861244,836,71.74,0.03
JD1,10.2279661,177,30.72,0.16
LZ1,10.18721604,1347,57.09,0.02
LJ1,10.09865513,1792,64.69,0.03
TV1,10.09461538,182,50.69,0.02
CS1,10.09031414,382,49.96,0.1
IU1,10.04863393,2994,72.47,0.01
QU1,10.0478125,128,49.44,0.07
WB2,10.04713568,199,30.85,0.13
QT1,10.0158627,2724,59.63,0.04
FF4,10.01111111,9,25.56,2.32
HZ1,9.974519278,2049,72.54,0.04
OS2,9.961644118,3400,61.89,0.07
KV1,9.9238,100,50.38,0.14
DA1,9.918371648,522,27.76,0.05
FT2,9.878162286,4794,62.24,0.02
IT2,9.860378984,3483,72.19,0.03
IK1,9.738823529,17,60.45,0.27
FW2,9.715513196,1023,45.05,0
JV2,9.698751301,961,45.9,0.06
KF1,9.660192308,52,23.34,0.15
CC1,9.569052419,496,36.01,0.12
VR1,9.522174359,1950,58.57,0.03
WB1,9.453157895,38,22.05,4.1
GX1,9.396156863,765,34.75,0.01
JD2,9.39471,1000,48.29,0.03
FW1,9.36137931,551,37.81,0.04
DK1,9.356428571,56,34.46,1.6
OD3,9.347370937,7322,57.99,0.04
HL1,9.271391941,546,37.96,0.06
TR2,9.264642857,56,27.54,0.75
BR3,9.25228972,1070,36.15,0.01
PV1,9.24020339,295,27.5,0.05
DG1,9.232823129,294,31.24,0.05
BZ1,9.212167183,969,71.78,0.02
FV1,9.188401826,219,34.05,0.02
IU2,9.158084157,5157,75.72,0.01
JR2,9.155535714,56,33.18,0.1
RT1,9.146818182,396,41.21,0.1
IZ1,9.117798711,2017,71.83,0.03
MC1,9.113283917,2226,31.25,0.02
RW1,9.098941588,2003,49.01,0.04
BU2,9.089627792,403,55.94,0.04
LS1,9.061392482,4948,56.71,0.01
HV2,9.051317829,129,47.66,0.09
JS1,9.026871795,1560,68.52,0.04
LD1,9.020277778,828,48.41,0.1
LS2,9.019095607,387,42.31,0.03
FS1,9.003204391,1913,39.16,0.04
OT1,8.98148265,1268,56.77,0.05
DR1,8.931033435,987,46.91,0.01
GF1,8.88105,200,21.57,0.2
LB1,8.811362764,2605,29.3,0.01
VZ1,8.786382979,282,44.64,0.16
FS2,8.753259689,13805,57.51,0.02
RA2,8.75,104,40.7,0.02
GD2,8.736613591,3517,34.37,0.05
DD1,8.671142626,1234,37.83,0.04
KU1,8.667808219,73,46.71,0.21
MA1,8.646606061,330,28.16,0.06
CJ1,8.643684211,76,39.94,0.22
WJ1,8.639166667,324,27.3,0.06
DE1,8.635106918,3180,32.85,0.03
GT1,8.611525424,295,44.97,0.1
JT1,8.605633528,513,80.37,0.07
IS1,8.589379061,1385,76.31,0.01
TS2,8.575192982,285,31.79,0.04
LR1,8.535457708,5462,58.09,0.03
PS1,8.531183432,169,41.97,0.03
HV1,8.497281161,4204,48.23,0.03
IS2,8.494939759,498,77.9,0.04
DG2,8.494216606,2770,41.25,0.03
BR2,8.487819368,18701,72.41,0.01
KT1,8.484439592,1374,46.72,0.08
MB1,8.461,1380,39.77,0.07
BR1,8.438982253,5522,73.49,0.01
HC3,8.428613728,1486,27.03,0.04
GB3,8.42494898,1568,31.21,0.04
MR1,8.422425829,573,40.7,0.03
DE2,8.397644381,4173,35.92,0.05
BV3,8.396883657,722,71.48,0.05
NZ1,8.394030075,4655,62.64,0.06
CV1,8.363099415,171,37.5,0.19
DS1,8.359590383,2246,52.34,0.01
KS1,8.314491649,8262,58.7,0.02
MJ1,8.284874598,1555,59.85,0.05
FV2,8.238265306,196,31.92,0.05
LM1,8.237218935,507,52.93,0.03
FU3,8.210030675,1304,57.01,0.02
FV3,8.15392,125,36.49,0.17
DW1,8.115333663,2023,55.7,0.06
FJ1,8.075151515,198,44.73,0.02
HC4,8.048784972,1251,39.9,0.08
BX2,8.026107566,2194,71.77,0.03
KZ1,8.005921325,483,34.1,0.1
HT1,7.927870968,465,43.6,0.01
JB2,7.90971897,854,53.35,0.04
OU1,7.898675,400,43.39,0.06
OD2,7.849242424,198,34.15,0.09
LE1,7.776235415,2914,41.52,0.03
HS1,7.749296875,640,43.61,0.05
IH2,7.706540938,1087,34.85,0.04
VS1,7.696190476,42,15.77,0.17
HZ3,7.672690058,171,46.69,0.04
LC1,7.658038835,2575,45.07,0.07
FR1,7.653507589,1186,31.71,0.02
LA1,7.65307888,1179,24.53,0.01
ZR2,7.624271311,1091,67.31,0.02
RA4,7.581666667,6,14.91,1.2
DG3,7.57372093,516,39.52,0.16
XZ1,7.5572,50,28.79,0.14
NE1,7.528548407,7943,52.07,0.05
VC1,7.523967828,746,40.88,0.05
IR1,7.465333333,240,53.71,0.08
FU2,7.451262136,515,43.4,0.04
CX1,7.433618421,152,38.54,0.19
BU3,7.424831461,89,37.27,0.06
GZ1,7.378882568,9316,56.31,0.02
CD1,7.377114428,201,35.49,0.06
RK1,7.348666667,30,20.43,0.25
HC1,7.306367925,212,20.24,0.08
QD1,7.298050314,159,42.92,0.14
IX1,7.199230769,13,25.62,0.51
TB1,7.18,12,15.92,0.26
HR1,7.070700676,3254,51.86,0.03
BY1,7.054201771,3727,56.45,0.01
OJ1,7.032758621,261,37.06,0.11
MK1,6.986438356,73,22.86,0.26
VS2,6.984338235,1224,43.88,0.02
RU2,6.911469087,1763,54.72,0.02
KJ1,6.895454545,66,22.8,0.16
EC2,6.794361371,321,33.35,0.05
RU1,6.786215839,7172,66.37,0.01
WS1,6.766153846,13,17.75,2.82
HD2,6.757559913,459,24.04,0.03
HC2,6.747179487,312,27.56,0.05
BU1,6.706105528,398,76.88,0.03
IU3,6.666763285,414,61.58,0.04
BY2,6.640567624,1427,42.91,0.03
JC1,6.599638554,166,34.03,0.03
NR1,6.583989218,1484,48.03,0.01
HD1,6.569178082,146,18.43,0.08
FK1,6.513333333,351,32.98,0.05
FE4,6.506666667,6,15.26,0.72
GS1,6.496068711,4599,44.22,0.03
GC3,6.477995392,868,33.19,0.07
DB1,6.468392857,112,30.76,0.12
GR1,6.44299078,5206,55.51,0.01
PC1,6.378513514,74,16.81,0.25
HS2,6.339152216,1038,62.34,0.06
NJ1,6.3359375,320,33.09,0.09
HK2,6.250996524,1726,33.13,0.03
YC2,6.215510204,49,46.95,0.1
ID1,6.18,1,6.18,6.18
HJ1,6.171611612,999,35.25,0.02
QB1,6.152785088,456,25.15,0.04
EB2,6.143313253,166,20.71,0.65
GC2,6.133272943,26163,60.12,0.03
NB1,6.117641414,1980,29.36,0.04
AH1,6.084137931,29,22.09,1.12
CD2,5.97763327,2645,38.95,0.03
IJ1,5.960055249,181,49.16,0.08
CR1,5.912617801,191,44.03,0.05
CT1,5.875416667,24,22.21,0.05
RE1,5.858034529,753,55.92,0.01
DF1,5.853737374,99,30.52,0.05
GJ1,5.852084848,1650,46.16,0.04
PJ1,5.83375,16,16.31,0.2
OZ1,5.693523931,15670,63.42,0.05
PU1,5.662462629,12978,49.75,0.03
IS3,5.642562582,1518,78.64,0.01
BS2,5.629768519,216,52.98,0.02
EB1,5.62971073,2973,44.49,0.02
BK1,5.622678331,743,28.46,0.02
QC1,5.607125749,167,14.98,0.24
RA3,5.595853659,41,15.94,0.42
NC1,5.575338836,9813,39.69,0.04
VB1,5.549230769,715,36.22,0.04
IG1,5.515398582,3525,43.33,0.04
FF1,5.475454545,11,11.64,1.18
XT3,5.43,3,6.83,2.94
PR1,5.417665706,347,22.16,0.09
IH1,5.368854749,358,35.11,0.05
FD4,5.352734375,128,27.17,0.13
GE2,5.351342756,283,18.93,0.06
HB1,5.32412963,540,20.13,0.05
HD4,5.292222222,432,32.24,0.04
PT1,5.249423413,3434,40.22,0.03
GB1,5.231645047,3392,27.77,0.04
FF2,5.228985507,138,21.31,0.03
XJ1,5.201064389,1522,34.01,0.02
JV5,5.199411765,17,15.21,0.52
OR1,5.169461666,18130,43.3,0.05
RD1,5.158571429,91,32.74,0.47
FN3,5.123533835,133,37.6,0.02
FF3,5.10311868,1879,28.9,0.04
JR1,5.056055363,578,44.3,0.03
ZR1,5.026442308,208,33.82,0.03
PT2,5.022916453,1951,23.78,0.05
GB2,5.010719583,3641,43.03,0.02
GV2,4.940510847,1429,44.27,0.03
OE1,4.907662897,3714,32.31,0.05
IR2,4.88988764,712,35.61,0.01
ND1,4.887487307,8075,32.24,0.04
IH3,4.796517572,626,32.06,0.03
HD3,4.785729889,15564,29.59,0.03
NA1,4.779628529,673,19.53,0.04
LG1,4.705480028,1427,56.43,0.01
IR4,4.675166667,120,65.69,0.05
VJ1,4.669612312,4256,37.16,0.01
ZJ1,4.627324478,527,26.11,0.01
CB2,4.616523438,256,24.41,0.05
FQ3,4.613970588,68,20.65,0.1
FQ1,4.60924833,1796,46.22,0.02
NA2,4.560698324,716,20.5,0.03
RC1,4.52599359,312,42.52,0.01
FS3,4.4954,50,28.82,0.17
OB1,4.483988793,1963,28.71,0.03
OD1,4.473320896,268,22.66,0.03
OC1,4.430194732,9757,33.07,0.05
GC1,4.419141762,1305,26.72,0.02
PR2,4.41515674,638,18.83,0.03
BJ1,4.404368049,989,36.47,0.01
VD1,4.348019802,808,40.73,0.03
BC2,4.264,80,27.83,0.03
OB2,4.256323843,23462,31.34,0.03
AG1,4.233333333,3,5.75,3.47
KC1,4.19091716,338,16.72,0.01
CW1,4.185930233,86,30.4,0.07
OC2,4.119890351,456,19.02,0.07
RV1,4.097362301,1634,47.5,0.01
IR3,4.077291667,48,12.31,0.17
BB2,3.954442881,4263,37.82,0.01
GE1,3.93447259,2645,55.49,0.03
KR1,3.883360656,122,22.56,0.19
KD2,3.882916667,168,22.34,0.03
ID2,3.877749097,1937,52.01,0.01
RF1,3.816363636,22,15.8,0.03
GK2,3.752727273,1826,37.4,0.04
BB1,3.685973646,683,19.69,0.01
BM1,3.66198895,362,27.9,0.02
GK3,3.587532777,839,29.39,0.07
JA2,3.532773723,137,24.45,0.04
FE3,3.531176471,17,14.77,1.77
CB1,3.51833875,2769,46.88,0.03
HK1,3.48625,168,15.82,0.06
ZK1,3.485666667,30,14.29,0.06
KD1,3.465293233,665,23.17,0.01
CB4,3.423348666,1087,32.52,0.04
FD1,3.404444444,9,7.54,1
BL1,3.368636364,44,15.2,0.02
FQ2,3.368023952,167,16.98,0.05
RA1,3.356769912,226,21.22,0.07
DB2,3.351627907,43,6.59,0.14
LT1,3.268888889,9,11.07,0.03
FB3,3.163896104,231,20.77,0.09
IF2,3.003724573,9193,40.68,0.01
IC3,2.990577373,3845,36.92,0.02
IF1,2.980961212,6471,40.38,0.02
ZB1,2.869430894,123,18.22,0.02
JA1,2.863451613,620,19.25,0.03
KC2,2.860238095,126,14.07,0.02
GK1,2.845416667,48,22.13,0.05
FB2,2.773181818,176,23.19,0.04
IE1,2.720103806,289,19.7,0.02
BD1,2.641887255,408,33.26,0.01
FE1,2.567768817,372,26.57,0.01
ZC1,2.525154185,681,19.2,0.01
FB4,2.453684211,19,4.63,0.35
CB3,2.434699547,6407,31.81,0.01
FD2,2.253211009,109,10.51,0.19
IC1,2.17705999,4034,26.54,0.01
FM1,2.162216405,573,17.96,0.01
FM3,2.134666667,45,10.47,0.02
FC3,2.107324841,157,8.24,0.08
FD3,2.10625,64,12.22,0.05
IC2,2.066376812,138,12.91,0.03
KE1,2.060909091,11,6.46,0.08
FB1,2.0196,25,8.79,0.04
IB2,1.952211966,5850,42.64,0.01
FN2,1.945302013,149,23.07,0.05
BC1,1.871025641,39,7.47,0.04
BE1,1.847294372,462,20.51,0
FE2,1.8375,4,2.28,1.57
BE2,1.792075472,53,9.18,0.01
FM2,1.505068027,294,8.01,0.01
FN1,1.421957157,1027,17.66,0.01
IB1,1.383452055,1460,25.2,0
FC2,1.375517241,58,3.6,0.08
FP1,1.081884817,191,13.16,0.07
FC1,1.052857143,7,2.19,0.07
FL2,0.807313433,67,7.4,0.01
FL1,0.544538462,130,2.61,0
